Date,Unemployment Rate (%),GDP(),Population,Inflation Rate (%)
1991-12-31,2.198,9.61B,68358820,0.0
1992-12-31,2.158,9.87B,69788747,0.0
1993-12-31,2.069,13.18B,71176405,0.0
1994-12-31,1.988,16.29B,72501087,0.0
1995-12-31,1.964,20.74B,73759110,0.0
1996-12-31,1.93,24.66B,74946448,5.68
1997-12-31,2.87,26.84B,76058603,3.21
1998-12-31,2.29,27.21B,77128424,7.27
1999-12-31,2.33,28.68B,78123713,4.12
2000-12-31,2.26,31.17B,79001142,-1.71
2001-12-31,2.76,32.69B,79817777,-0.43
2002-12-31,2.12,35.06B,80642308,3.83
2003-12-31,2.25,39.55B,81475825,3.23
2004-12-31,2.14,45.43B,82311227,7.75
2005-12-31,2.075,57.63B,83142095,8.28
2006-12-31,2.045,66.37B,83951800,7.42
2007-12-31,2.03,77.41B,84762269,8.34
2008-12-31,1.893,99.13B,85597241,23.12
2009-12-31,1.74,106.01B,86482923,6.72
2010-12-31,1.11,147.20B,87411012,9.21
2011-12-31,1.0,172.60B,88349117,18.68
2012-12-31,1.03,195.59B,89301326,9.09
2013-12-31,1.32,213.71B,90267739,6.59
2014-12-31,1.26,233.45B,91235504,4.08
2015-12-31,1.85,239.26B,92191398,0.63
2016-12-31,1.85,257.10B,93126529,2.67
2017-12-31,1.87,281.35B,94033048,3.52
2018-12-31,1.16,310.11B,94914330,3.54
2019-12-31,1.68,334.37B,95776716,2.8
2020-12-31,2.1,346.62B,96648685,3.22
2021-12-31,2.38,366.14B,97468029,1.83
2022-12-31,1.54,408.80B,98186856,3.16
